battingteam,bowlingteam,matchid,batsmanname,0
Chennai Super Kings,Rajasthan Royals,1254069,MS Dhoni,105.88235294117648
Chennai Super Kings,Rajasthan Royals,1254069,RA Jadeja,128.57142857142858
Chennai Super Kings,Rajasthan Royals,1254069,SM Curran,216.66666666666666
Chennai Super Kings,Rajasthan Royals,1254069,SN Thakur,200.0
Chennai Super Kings,Rajasthan Royals,1254069,Suresh Raina,117.64705882352942
Chennai Super Kings,Rajasthan Royals,1254089,AS Raut,168.85245901639345
Chennai Super Kings,Rajasthan Royals,1254089,AT Rayudu,50.0
Chennai Super Kings,Rajasthan Royals,1254089,F du Plessis,131.57894736842107
Chennai Super Kings,Rajasthan Royals,1254089,MM Ali,122.22222222222223
Chennai Super Kings,Rajasthan Royals,1254089,RA Jadeja,226.66666666666666
Chennai Super Kings,Rajasthan Royals,1254089,Suresh Raina,60.0
Chennai Super Kings,Royal Challengers Bangalore,1136584,AT Rayudu,157.40740740740742
Chennai Super Kings,Royal Challengers Bangalore,1136584,DJ Bravo,200.0
Chennai Super Kings,Royal Challengers Bangalore,1136584,MS Dhoni,194.87179487179486
Chennai Super Kings,Royal Challengers Bangalore,1136584,RA Jadeja,66.66666666666666
Chennai Super Kings,Royal Challengers Bangalore,1136584,SK Raina,120.0
Chennai Super Kings,Royal Challengers Bangalore,1136584,SR Watson,175.0
Chennai Super Kings,Royal Challengers Bangalore,1136584,SW Billings,128.57142857142858
Chennai Super Kings,Royal Challengers Bangalore,1136595,AT Rayudu,136.0
Chennai Super Kings,Royal Challengers Bangalore,1136595,DJ Bravo,88.23529411764706
Chennai Super Kings,Royal Challengers Bangalore,1136595,DR Shorey,88.88888888888889
Chennai Super Kings,Royal Challengers Bangalore,1136595,MS Dhoni,134.6153846153846
Chennai Super Kings,Royal Challengers Bangalore,1136595,SK Raina,119.04761904761905
Chennai Super Kings,Royal Challengers Bangalore,1136595,SR Watson,78.57142857142857
Chennai Super Kings,Royal Challengers Bangalore,1175356,AT Rayudu,66.66666666666666
Chennai Super Kings,Royal Challengers Bangalore,1175356,KM Jadhav,70.0
Chennai Super Kings,Royal Challengers Bangalore,1175356,RA Jadeja,47.05882352941176
Chennai Super Kings,Royal Challengers Bangalore,1175356,SK Raina,95.23809523809523
Chennai Super Kings,Royal Challengers Bangalore,1175356,SR Watson,10.0
Chennai Super Kings,Royal Challengers Bangalore,1178414,AT Rayudu,103.44827586206897
Chennai Super Kings,Royal Challengers Bangalore,1178414,DJ Bravo,125.0
Chennai Super Kings,Royal Challengers Bangalore,1178414,F du Plessis,62.5
Chennai Super Kings,Royal Challengers Bangalore,1178414,KM Jadhav,100.0
Chennai Super Kings,Royal Challengers Bangalore,1178414,MS Dhoni,185.41666666666669
Chennai Super Kings,Royal Challengers Bangalore,1178414,RA Jadeja,92.3076923076923
Chennai Super Kings,Royal Challengers Bangalore,1178414,SK Raina,0.0
Chennai Super Kings,Royal Challengers Bangalore,1178414,SR Watson,166.66666666666669
Chennai Super Kings,Royal Challengers Bangalore,1254076,AS Raut,134.6153846153846
Chennai Super Kings,Royal Challengers Bangalore,1254076,AT Rayudu,200.0
Chennai Super Kings,Royal Challengers Bangalore,1254076,F du Plessis,121.42857142857142
Chennai Super Kings,Royal Challengers Bangalore,1254076,MS Dhoni,66.66666666666666
Chennai Super Kings,Royal Challengers Bangalore,1254076,RA Jadeja,228.57142857142856
Chennai Super Kings,Royal Challengers Bangalore,1254076,Suresh Raina,138.88888888888889
Chennai Super Kings,Royal Challengers Bangalore,1254113,AS Raut,150.0
Chennai Super Kings,Royal Challengers Bangalore,1254113,AT Rayudu,150.0
Chennai Super Kings,Royal Challengers Bangalore,1254113,F du Plessis,123.07692307692308
Chennai Super Kings,Royal Challengers Bangalore,1254113,MM Ali,126.3157894736842
Chennai Super Kings,Royal Challengers Bangalore,1254113,MS Dhoni,122.22222222222223
Chennai Super Kings,Royal Challengers Bangalore,1254113,Suresh Raina,163.63636363636365
Chennai Super Kings,Sunrisers Hyderabad,1136580,AT Rayudu,207.6923076923077
Chennai Super Kings,Sunrisers Hyderabad,1136580,F du Plessis,84.61538461538461
Chennai Super Kings,Sunrisers Hyderabad,1136580,MS Dhoni,208.33333333333334
